url,Views,Date_Uploaded,Likes,Dislikes
https://www.youtube.com/watch?v=WJNrSHN81Sk,"1,570,806 views","Jan 27, 2017",36K,1.5K
https://www.youtube.com/watch?v=s2YZN2L700Q,"619,861 views","Feb 18, 2015",5.6K,305
https://www.youtube.com/watch?v=WXz7Yh-adak,"12,709 views",Streamed live 18 hours ago,1.4K,50
https://www.youtube.com/watch?v=h48BWDeBLno,"1,357,282 views","Apr 21, 2014",7.9K,1.5K
https://www.youtube.com/watch?v=mrH2xDlHLIk,"21,249 views","Streamed live on Jul 30, 2020",1.9K,57
https://www.youtube.com/watch?v=wT0pRnRQJtk,"495,773 views","Jul 31, 2020",10K,442
https://www.youtube.com/watch?v=gufpCHJU6Cw,"369,685 views","Mar 22, 2020",8.1K,246
https://www.youtube.com/watch?v=ZL6Ie2zFiJo,3 views,"Jul 30, 2020",0,0
https://www.youtube.com/watch?v=c01TSODs2_g,"132,479 views","Oct 18, 2018",1.3K,74
https://www.youtube.com/watch?v=hpZwCRInrgo,"1,331,789 views","Jan 31, 2018",12K,1K
https://www.youtube.com/watch?v=B7I6D3mSYTE,"246,055 views","Mar 19, 2018",2.2K,139
https://www.youtube.com/watch?v=mtYvF_27wBM,"95,938 views","Jul 29, 2020",1.1K,103
https://www.youtube.com/watch?v=xwpKcNc8jDs,"116,077 views","Jul 27, 2020",5.6K,728
https://www.youtube.com/watch?v=3PXfoxs8UbY,"2,134,344 views","Apr 13, 2014",10K,1.3K
https://www.youtube.com/watch?v=2tnIYM-qF40,"397,787 views","Apr 13, 2014",2.5K,380
https://www.youtube.com/watch?v=rnhhUI4nbzY,"173,886 views","Aug 14, 2013",1.7K,90
https://www.youtube.com/watch?v=RH8kyg9Ofog,"16,132 views","May 27, 2020",927,74
https://www.youtube.com/watch?v=5pcR3eceOf4,"284,315 views","Apr 13, 2014",3.1K,393
https://www.youtube.com/watch?v=DlAVSwxkqWI,"49,667 views","Nov 13, 2018",3.6K,166
https://www.youtube.com/watch?v=YHJTN5vJXC8,"398,719 views","Apr 13, 2014",3.6K,311
https://www.youtube.com/watch?v=rnhhUI4nbzY,"173,886 views","Aug 14, 2013",1.7K,90
https://www.youtube.com/watch?v=iZRAXSd7s4Y,"12,501 views","Nov 14, 2019",123,18
https://www.youtube.com/watch?v=29dLpRKIEhU,"5,535 views","Nov 13, 2019",LIKE,DISLIKE
https://www.youtube.com/watch?v=GNfVDy7h0Hc,"53,011 views","Nov 14, 2014",605,76
https://www.youtube.com/watch?v=RH8kyg9Ofog,"16,132 views","May 27, 2020",927,74
https://www.youtube.com/watch?v=MnMcNk7MttQ,"100,979 views","Nov 14, 2017",462,96
https://www.youtube.com/watch?v=-Jv7lv9EoDQ,"19,699 views","Nov 13, 2014",LIKE,DISLIKE
https://www.youtube.com/watch?v=m4bWUIIo3qg,"1,313,980 views","May 9, 2017",LIKE,DISLIKE
https://www.youtube.com/watch?v=3s5I0xw2OWE,"886,278 views","Feb 25, 2018",4K,566
https://www.youtube.com/watch?v=MT9FObdUnug,"9,267 views","Jul 31, 2020",868,9
https://www.youtube.com/watch?v=q8aETK5pQR4,"4,826,690 views","Jul 20, 2015",50K,3.7K
https://www.youtube.com/watch?v=1J_MKRJUENE,"2,124,451 views","Jul 31, 2020",209K,1.9K
https://www.youtube.com/watch?v=GUUnJsiQxdU,"3,977,080 views","Jul 30, 2020",357K,4.9K
https://www.youtube.com/watch?v=l4bpfUcLik0,"1,494 views","Jul 31, 2020",74,3
https://www.youtube.com/watch?v=svLleaOKSFc,"2,520 watching now",Started streaming 18 hours ago,1.1K,1.6K
https://www.youtube.com/watch?v=SlJZLLnhR7k,"3,521,533 views","Jul 29, 2020",320K,3.4K
https://www.youtube.com/watch?v=FXTgITg-UAM,"8,447,899 views","Jul 23, 2020",1M,24K
https://www.youtube.com/watch?v=f47-DW6QoA0,"225,092 views","Jul 31, 2020",42K,702
https://www.youtube.com/watch?v=rWkCW7FLm4s,"257,372 views","Jul 30, 2020",10K,318
https://www.youtube.com/watch?v=MBRihNZGzA0,"1,920,559 views","Jul 27, 2020",84K,5.2K
https://www.youtube.com/watch?v=Q_BlCBEUKRo,"71,144 views","Jul 31, 2020",5.3K,72
https://www.youtube.com/watch?v=nnZDjR2xv20,"54,239 views","Streamed live on Jul 30, 2020",287,71
https://www.youtube.com/watch?v=rdVyEg0prrw,"712,825 views","Jul 29, 2020",31K,1.5K
https://www.youtube.com/watch?v=5pxQrgmsnAk,"174,700 views","Jul 29, 2020",8.7K,219
https://www.youtube.com/watch?v=SD4Z8dlZPd8,"475,042,979 views","Mar 25, 2020",4.5M,702K
https://www.youtube.com/watch?v=xhuIwAG1SP0,"182,174 views","Streamed live on Jul 30, 2020",1.3K,147
https://www.youtube.com/watch?v=aJOTlE1K90k,"2,752,061,079 views","May 30, 2018",16M,707K
https://www.youtube.com/watch?v=g87k93SDrrs,"1,556 watching now","Started streaming on Jul 26, 2020",1.9K,97
https://www.youtube.com/watch?v=Dm9Zf1WYQ_A,"11,646,843 views","Jul 30, 2020",1.7M,29K
https://www.youtube.com/watch?v=qpgTC9MDx1o,"670,148,518 views","Sep 29, 2014",3.9M,192K
https://www.youtube.com/watch?v=dwWd85XgkW8,"639,793 views","Jul 31, 2020",57K,507
https://www.youtube.com/watch?v=PFcj6X3BNXI,"1,725,595 views","Jul 30, 2020",100K,807
https://www.youtube.com/watch?v=ZeCPWVFtWzY,"401,940 views","Jul 31, 2020",45K,179
https://www.youtube.com/watch?v=YAFa82p1Yto,55 views,"Jul 31, 2020",12,0
https://www.youtube.com/watch?v=suLl_eokRnM,"1,735,316 views","Jul 24, 2020",147K,1K
https://www.youtube.com/watch?v=r7qovpFAGrQ,"461,527,800 views","Jul 18, 2019",4.6M,156K
https://www.youtube.com/watch?v=w2Ov5jzm3j8,"498,431,568 views","Premiered May 17, 2019",11M,341K
https://www.youtube.com/watch?v=U4xPahDjY6k,"50,218,209 views","Jul 15, 2019",467K,12K
https://www.youtube.com/watch?v=Q9Vjvz1NPN8,"31,624,202 views","Jan 27, 2020",2.1M,23K
https://www.youtube.com/watch?v=75PpxGzR7s0,"33,786,784 views","Jul 5, 2019",254K,8.3K
https://www.youtube.com/watch?v=pl5WHx8QCVk,"39,439,459 views","Jul 4, 2019",304K,16K
https://www.youtube.com/watch?v=Dm9Zf1WYQ_A,"11,646,843 views","Jul 30, 2020",1.7M,29K
https://www.youtube.com/watch?v=DyDfgMOUjCI,"932,703,143 views","Mar 29, 2019",13M,927K
https://www.youtube.com/watch?v=V1Pl8CzNzCw,"765,413,634 views","Apr 26, 2018",10M,153K
https://www.youtube.com/watch?v=a2xhCMoQT_Q,"4,817 views",Streamed live 12 hours ago,531,5
https://www.youtube.com/watch?v=gBRi6aZJGj4,"415,366,353 views","Mar 22, 2017",5M,75K
https://www.youtube.com/watch?v=t7ZZDITrxSY,"544,251 views","Jul 30, 2020",12K,365
https://www.youtube.com/watch?v=UufZqvdGOBE,"1,388,492 views","Jul 31, 2020",78K,1.4K
https://www.youtube.com/watch?v=VD479r44iZk,"977,953 views","Jul 30, 2020",34K,743
https://www.youtube.com/watch?v=yMN_j-dYEgE,"6,961 views",Streamed live 14 hours ago,314,11
https://www.youtube.com/watch?v=s2BiELoKOPE,"1,978,325 views","Jul 30, 2020",88K,1.1K
https://www.youtube.com/watch?v=hXyzlkmUD64,"499,822 views","Jul 31, 2020",21K,629
https://www.youtube.com/watch?v=mby5WjNFmhI,"824,697 views","Jul 30, 2020",20K,1.2K
https://www.youtube.com/watch?v=hWzccW4TQkg,"19,073,241 views","Apr 24, 2020",1.7M,10K
https://www.youtube.com/watch?v=ZvKcKsFCIbk,"126,716 views","Jul 30, 2020",8.1K,298
https://www.youtube.com/watch?v=6zyuNRf2d5w,284 views,Premiered 17 hours ago,8,0
https://www.youtube.com/watch?v=CaiI11gEWYo,"2,353,031 views","Apr 24, 2020",47K,634
https://www.youtube.com/watch?v=klJz3y5C5sI,"10,913,180 views","Jul 13, 2016",260K,1.9K
https://www.youtube.com/watch?v=mseD7dAu3Mg,"1,992,823 views","Feb 27, 2019",119K,1.2K
https://www.youtube.com/watch?v=XfjL4fEghXQ,"6,556,238 views","Jun 11, 2019",550K,3.2K
https://www.youtube.com/watch?v=nk7DpstIieA,"3,942 views","Jul 31, 2020",1.1K,1
https://www.youtube.com/watch?v=Les010vLDpI,28 views,"Jul 30, 2020",6,0
https://www.youtube.com/watch?v=BYg6_u_WJf4,252 views,"Jul 30, 2020",19,2
https://www.youtube.com/watch?v=DF-kfDEJEdc,"2,478,524 views","Jul 31, 2020",197K,2.1K
https://www.youtube.com/watch?v=XaNZeRNeTrY,"5,000,852 views","Jul 25, 2020",358K,7.1K
https://www.youtube.com/watch?v=9lT6ABDj32I,"14,915,530 views","Jul 21, 2020",764K,30K
https://www.youtube.com/watch?v=gAAjOYIowaM,"8,626,837 views","Premiered Jul 29, 2020",465K,11K
https://www.youtube.com/watch?v=AOkVEwMQOTM,"6,911,222 views","Jul 14, 2020",488K,5.5K
